epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,206.15,1.41192,0.80103,1.14108,0.62382,0.6693,0.59837,0.27396,1.84567,0.99507,1.38235,0.00106118,0.00106118,0.00106118
80,208.666,1.39007,0.80723,1.11351,0.70297,0.60814,0.60038,0.27095,1.86046,1.02763,1.4063,0.00105646,0.00105646,0.00105646
81,211.213,1.37437,0.80459,1.10884,0.62692,0.62737,0.59667,0.27177,1.87734,1.05483,1.41474,0.00105174,0.00105174,0.00105174
82,213.687,1.39431,0.77557,1.10497,0.68602,0.66686,0.62996,0.27736,1.88604,1.02015,1.41512,0.00104703,0.00104703,0.00104703
83,216.163,1.35561,0.7855,1.12506,0.64144,0.6452,0.59225,0.2674,1.86416,0.96609,1.41107,0.00104231,0.00104231,0.00104231
84,218.639,1.3697,0.78213,1.106,0.67735,0.66921,0.60982,0.26736,1.88754,0.98261,1.41515,0.0010376,0.0010376,0.0010376
85,221.088,1.30573,0.75118,1.11443,0.68502,0.62453,0.58503,0.2677,1.90138,0.9997,1.41361,0.00103288,0.00103288,0.00103288
86,223.668,1.31251,0.7376,1.07485,0.66535,0.62999,0.58894,0.27199,1.90469,0.99604,1.41729,0.00102817,0.00102817,0.00102817
87,226.154,1.3199,0.72578,1.0853,0.65744,0.60845,0.57294,0.27648,1.85295,0.98441,1.39943,0.00102345,0.00102345,0.00102345
88,228.571,1.35146,0.76155,1.11405,0.64823,0.61906,0.5801,0.27207,1.84192,0.9981,1.38833,0.00101873,0.00101873,0.00101873
89,231.179,1.3356,0.75316,1.10351,0.70117,0.60706,0.59244,0.27056,1.87958,1.00996,1.39234,0.00101402,0.00101402,0.00101402
90,233.831,1.28001,0.73558,1.06483,0.67439,0.64923,0.5918,0.26782,1.94149,1.04788,1.41905,0.0010093,0.0010093,0.0010093
91,236.478,1.31612,0.75046,1.08343,0.67462,0.6282,0.58784,0.27758,1.87267,0.9551,1.39565,0.00100459,0.00100459,0.00100459
