epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,282.632,0.92469,0.52488,1.01357,0.96245,0.95737,0.98271,0.65124,1.28145,0.5636,1.25487,0.00112789,0.00112789,0.00112789
100,285.439,0.95101,0.53221,1.04715,0.96992,0.95489,0.98599,0.65045,1.29433,0.53805,1.25229,0.00112239,0.00112239,0.00112239
101,288.178,0.91218,0.52749,1.03165,0.96386,0.9673,0.98781,0.64471,1.34011,0.55214,1.27433,0.00111689,0.00111689,0.00111689
102,290.952,0.92335,0.51186,1.01384,0.96265,0.98118,0.98798,0.64908,1.31161,0.54557,1.26549,0.00111139,0.00111139,0.00111139
103,293.738,0.91237,0.49941,1.02228,0.96615,0.97103,0.98775,0.65495,1.28123,0.53866,1.25199,0.00110589,0.00110589,0.00110589
104,296.56,0.91072,0.52071,1.0164,0.98043,0.97358,0.98723,0.65152,1.31884,0.55634,1.258,0.00110039,0.00110039,0.00110039
105,299.311,0.93753,0.52312,1.02208,0.9757,0.94563,0.9879,0.65738,1.29059,0.53864,1.28027,0.00109489,0.00109489,0.00109489
106,302.129,0.92231,0.51762,1.02827,0.95443,0.96692,0.98781,0.65438,1.25788,0.53285,1.26356,0.00108938,0.00108938,0.00108938
107,304.906,0.92272,0.50436,1.01165,0.96535,0.97606,0.99027,0.64968,1.24571,0.51695,1.23262,0.00108388,0.00108388,0.00108388
108,307.696,0.90121,0.49791,1.02084,0.95924,0.98724,0.99008,0.65278,1.31249,0.52818,1.25623,0.00107838,0.00107838,0.00107838
109,310.508,0.89731,0.49523,1.00731,0.96814,0.98724,0.99037,0.64785,1.33023,0.53079,1.26314,0.00107288,0.00107288,0.00107288
110,313.294,0.90135,0.49997,1.01317,0.9552,0.9898,0.99066,0.65492,1.28348,0.51512,1.23514,0.00106738,0.00106738,0.00106738
111,316.171,0.8761,0.48503,0.99964,0.96116,0.99131,0.99275,0.65665,1.2405,0.48864,1.23014,0.00106188,0.00106188,0.00106188
112,318.963,0.9088,0.49894,1.02442,0.97195,0.99235,0.99368,0.66176,1.25095,0.49021,1.23386,0.00105638,0.00105638,0.00105638
113,321.789,0.87073,0.48426,1.00876,0.98323,0.96379,0.99181,0.67209,1.24716,0.49807,1.21828,0.00105088,0.00105088,0.00105088
114,324.617,0.88024,0.47946,1.00028,0.98701,0.97095,0.99218,0.67781,1.2386,0.5011,1.23074,0.00104538,0.00104538,0.00104538
115,327.36,0.89869,0.49332,1.01201,0.98707,0.97228,0.99205,0.66728,1.26977,0.51005,1.25779,0.00103987,0.00103987,0.00103987
116,330.151,0.89623,0.49845,1.00426,0.97397,0.97859,0.99251,0.67138,1.25619,0.50369,1.23921,0.00103437,0.00103437,0.00103437
117,332.938,0.85757,0.48624,1.008,0.97388,0.98339,0.99298,0.67314,1.26358,0.50663,1.23744,0.00102887,0.00102887,0.00102887
118,335.732,0.89184,0.48956,1.0241,0.97896,0.98109,0.99182,0.66307,1.2623,0.51001,1.23286,0.00102337,0.00102337,0.00102337
119,338.508,0.86745,0.49079,1.00639,0.96613,0.98724,0.98895,0.66611,1.26539,0.51851,1.24047,0.00101787,0.00101787,0.00101787
